Job Number,Title,Economic Sector,Company,Country,Closing Date
1,Accounting Officer,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
2,Human Resource Clerk,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
3,Draughtsperson,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
4,Site Manager,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
5,Data-Entry Clerk,Construction,WENSENG INTERNATIONAL CO LTD,Mauritius,19/08/2024
6,Mason,Construction,NS CONSTRUCTION LTD,Mauritius,24/08/2024
7,Mason,Construction,DATANG ENGINEERING CO LTD,Mauritius,24/08/2024
8,Steel Fixer,Construction,DATANG ENGINEERING CO LTD,Mauritius,24/08/2024
9,Carpenter,Construction,DATANG ENGINEERING CO LTD,Mauritius,24/08/2024
10,Site Agent/Technician,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
11,Site Engineer,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
12,Trainee Engineer,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
13,Chief Supervisor,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
14,Site Clerk,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
15,M & E Coordinator,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
16,"Handyman, Building Maintenance",Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,29/08/2024
17,Administrative Secretary,Construction,OPP CONTRACTING LTD,Mauritius,30/08/2024
18,Administrative Officer,Construction,OPP CONTRACTING LTD,Mauritius,30/08/2024
19,General Worker,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,30/08/2024
20,"Plumber and Pipe Fitter, General",Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,30/08/2024
21,"Electrician, General",Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,30/08/2024
22,Site Supervisor,Construction,OPP CONTRACTING LTD,Mauritius,30/08/2024
23,Draughtsperson,Construction,OPP CONTRACTING LTD,Mauritius,30/08/2024
24,Purchasing Clerk,Construction,OPP CONTRACTING LTD,Mauritius,30/08/2024
25,Gardener,Construction,RENOVATIA LTD,Mauritius,30/08/2024
26,"Plumber and Pipe Fitter, General",Construction,SOLVCON LIMITED,Mauritius,31/08/2024
27,Accountant,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
28,Cabinet Maker/Menuisier,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/08/2024
29,Painter,Construction,RBRB CONSTRUCTION LTD,Mauritius,31/08/2024
30,Secretary,Construction,PRO-DESIGN ENGINEERING CONSULTANTS LTD,Mauritius,31/08/2024
31,Storekeeper,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
32,Receptionist,Construction,PRO-DESIGN ENGINEERING CONSULTANTS LTD,Mauritius,31/08/2024
33,Administrative Clerk,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
34,Accounts clerk,Construction,TOPBUILDER CO LTD,Mauritius,31/08/2024
35,Procurement/Purchasing Officer,Construction,TOPBUILDER CO LTD,Mauritius,31/08/2024
36,Electrical Technician,Construction,PROELEC ELECTRICAL LTD,Mauritius,31/08/2024
37,Human Resource Officer,Construction,GREEN SCAFF CO LTD,Mauritius,31/08/2024
38,Human Resource Assistant,Construction,SAFETY CONSTRUCTION CO LTD,Mauritius,31/08/2024
39,"Engineer, Building Construction",Construction,JIANGXI CONSTRUCTION INTERNATIONAL ENGINEERING (MAURITIUS) CO LTD,Mauritius,31/08/2024
40,"Technician, General",Construction,JIANGXI CONSTRUCTION INTERNATIONAL ENGINEERING (MAURITIUS) CO LTD,Mauritius,31/08/2024
41,Civil Engineer,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
42,Site Supervisor,Construction,METASIGN COMPANY LTD,Mauritius,31/08/2024
43,Accounts clerk,Construction,KUROS CONSTRUCTION SOLUTIONS LTD.,Mauritius,20/09/2024
44,M&E Engineer,Construction,CIVELMEC GROUP LTD,Mauritius,30/09/2024
45,Waterproofing applicator,Construction,SPECIALITY COATINGS LIMITED,Mauritius,15/10/2024
46,Welder,Construction,METASIGN COMPANY LTD,Mauritius,31/12/2024
47,Mason,Construction,METASIGN COMPANY LTD,Mauritius,31/12/2024

